,시가,고가,저가,종가,거래량,거래대금,등락률,날짜,종목코드,종목명,BPS,PER,PBR,EPS,DIV,DPS
86,0,0,0,0,0,0,0.0,20231231,044450,KSS해운,0.0,0.0,0.0,0.0,0.0,0.0
87,0,0,0,0,0,0,0.0,20231231,030200,KT,0.0,0.0,0.0,0.0,0.0,0.0
88,0,0,0,0,0,0,0.0,20231231,033780,KT&G,0.0,0.0,0.0,0.0,0.0,0.0
89,0,0,0,0,0,0,0.0,20231231,058850,KTcs,0.0,0.0,0.0,0.0,0.0,0.0
90,0,0,0,0,0,0,0.0,20231231,058860,KTis,0.0,0.0,0.0,0.0,0.0,0.0
91,0,0,0,0,0,0,0.0,20231231,093050,LF,0.0,0.0,0.0,0.0,0.0,0.0
92,0,0,0,0,0,0,0.0,20231231,003550,LG,0.0,0.0,0.0,0.0,0.0,0.0
93,0,0,0,0,0,0,0.0,20231231,034220,LG디스플레이,0.0,0.0,0.0,0.0,0.0,0.0
94,0,0,0,0,0,0,0.0,20231231,051900,LG생활건강,0.0,0.0,0.0,0.0,0.0,0.0
95,0,0,0,0,0,0,0.0,20231231,051905,LG생활건강우,0.0,0.0,0.0,0.0,0.0,0.0
96,0,0,0,0,0,0,0.0,20231231,373220,LG에너지솔루션,0.0,0.0,0.0,0.0,0.0,0.0
97,0,0,0,0,0,0,0.0,20231231,003555,LG우,0.0,0.0,0.0,0.0,0.0,0.0
98,0,0,0,0,0,0,0.0,20231231,032640,LG유플러스,0.0,0.0,0.0,0.0,0.0,0.0
99,0,0,0,0,0,0,0.0,20231231,011070,LG이노텍,0.0,0.0,0.0,0.0,0.0,0.0
100,0,0,0,0,0,0,0.0,20231231,066570,LG전자,0.0,0.0,0.0,0.0,0.0,0.0
101,0,0,0,0,0,0,0.0,20231231,066575,LG전자우,0.0,0.0,0.0,0.0,0.0,0.0
102,0,0,0,0,0,0,0.0,20231231,037560,LG헬로비전,0.0,0.0,0.0,0.0,0.0,0.0
103,0,0,0,0,0,0,0.0,20231231,051910,LG화학,0.0,0.0,0.0,0.0,0.0,0.0
